instance_id,repo,version,created_at,difficulty,declared_mode,routing_domain_cluster,observable_mode,gold_domain_cluster,repair_shape,semantic_cluster_k10,problem_chars,hints_chars,has_hints,code_block_count,mentions_traceback,mentions_exception,fail_to_pass_count,pass_to_pass_count,test_patch_files,test_patch_changed_lines,patch_files,patch_hunks,patch_additions,patch_deletions,patch_changed_lines,patch_exts,patch_top_dirs,patch_touches_tests,patch_touches_docs,patch_touches_migrations,kw_web_orm_config,kw_symbolic_math,kw_array_numeric_ml,kw_docs_rendering,kw_plotting_visual,kw_test_lint_tooling,kw_http_io_packaging,kw_compatibility_errors,kw_parser_serialization
astropy__astropy-14598,astropy/astropy,5.2,2023-03-29T10:34:49Z,15 min - 1 hour,dependency_config,scientific_array_modeling,array_numeric_ml,scientific_array_modeling,micro_single_file,8,2651,925,True,10,False,False,1,175,1,16,1,2,2,2,4,{'.py': 1},{'astropy': 1},False,False,False,1,0,3,1,2,0,0,1,2
astropy__astropy-14995,astropy/astropy,5.2,2023-06-27T19:48:18Z,<15 min fix,dependency_config,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,micro_single_file,8,2455,5587,True,2,False,True,1,179,1,39,1,1,2,2,4,{'.py': 1},{'astropy': 1},False,False,False,0,0,4,3,2,1,2,3,2
astropy__astropy-7166,astropy/astropy,1.3,2018-02-07T15:05:31Z,<15 min fix,test_localizable,scientific_array_modeling,docs_rendering,scientific_array_modeling,small_local,8,162,1024,True,0,False,False,1,6,1,12,1,3,3,7,10,{'.py': 1},{'astropy': 1},False,False,False,0,0,0,3,0,0,0,1,1
astropy__astropy-7336,astropy/astropy,1.3,2018-03-28T15:31:32Z,<15 min fix,semantic_api,scientific_array_modeling,compatibility_errors,scientific_array_modeling,micro_single_file,9,1572,67,True,4,True,True,1,339,2,161,1,1,1,1,2,{'.py': 1},{'astropy': 1},False,False,False,0,0,1,0,0,0,0,2,1
astropy__astropy-7606,astropy/astropy,1.3,2018-06-29T16:27:46Z,15 min - 1 hour,semantic_api,scientific_array_modeling,parser_serialization,scientific_array_modeling,small_local,9,1052,157,True,2,True,True,1,241,1,7,1,2,7,3,10,{'.py': 1},{'astropy': 1},False,False,False,1,0,0,0,0,0,0,2,3
astropy__astropy-7671,astropy/astropy,1.3,2018-07-20T19:37:49Z,15 min - 1 hour,dependency_config,scientific_array_modeling,compatibility_errors,scientific_array_modeling,small_local,9,1916,306,True,8,True,True,1,3,1,2,1,2,9,0,9,{'.py': 1},{'astropy': 1},False,False,False,0,0,1,1,0,0,0,3,2
astropy__astropy-8707,astropy/astropy,3.1,2019-05-15T13:21:19Z,15 min - 1 hour,repo_family,scientific_array_modeling,docs_rendering,scientific_array_modeling,broad_multi_file_or_large,8,840,0,False,0,False,False,1,11,1,24,2,6,66,9,75,{'.py': 2},{'astropy': 2},False,False,False,0,0,1,2,0,0,1,0,1
astropy__astropy-8872,astropy/astropy,3.1,2019-06-19T20:34:56Z,15 min - 1 hour,repo_family,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,small_local,8,887,425,True,4,False,False,1,80,1,11,1,3,4,7,11,{'.py': 1},{'astropy': 1},False,False,False,0,0,1,0,0,0,0,0,0
django__django-10097,django/django,2.2,2018-06-26T23:30:51Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,2656,0,False,0,False,False,438,1432,2,8,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,6,0,0,0,0,0,2,0,1
django__django-10554,django/django,3.0,2018-10-24T14:24:45Z,1-4 hours,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,2909,338,True,0,True,False,2,23,1,23,2,2,10,1,11,{'.py': 2},{'django': 2},False,False,False,6,0,0,0,1,0,0,1,1
django__django-10880,django/django,3.0,2019-01-21T00:22:36Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,9,278,139,True,0,False,True,1,55,1,7,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,1,0,0,0,0
django__django-10914,django/django,3.0,2019-01-30T13:13:20Z,<15 min fix,dependency_config,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,8,1021,4983,True,0,False,False,1,98,1,2,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,3,0,0,3,2,1,1,1,0
django__django-10973,django/django,3.0,2019-02-11T01:19:56Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_framework_orm_config,medium_local,8,357,0,False,0,False,False,5,0,1,46,1,2,4,33,37,{'.py': 1},{'django': 1},False,False,False,1,0,0,0,1,0,0,1,0
django__django-10999,django/django,3.0,2019-02-16T07:44:50Z,<15 min fix,test_localizable,web_framework_orm_config,docs_rendering,web_framework_orm_config,small_local,8,616,1166,True,0,False,False,2,10,1,7,1,1,4,3,7,{'.py': 1},{'django': 1},False,False,False,1,0,0,2,0,0,0,0,1
django__django-11066,django/django,3.0,2019-03-09T13:03:14Z,<15 min fix,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1867,2075,True,0,True,False,1,3,1,16,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,8,0,0,2,3,0,1,1,0
django__django-11087,django/django,3.0,2019-03-16T22:59:57Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,9252,7256,True,0,True,False,1,41,2,53,1,4,25,5,30,{'.py': 1},{'django': 1},False,False,False,9,0,0,3,2,1,3,2,1
django__django-11095,django/django,3.0,2019-03-19T15:17:28Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,381,742,True,0,False,False,1,19,1,26,1,2,5,1,6,{'.py': 1},{'django': 1},False,False,False,3,0,0,0,0,0,1,0,0
django__django-11099,django/django,3.0,2019-03-20T03:46:18Z,<15 min fix,numeric_symbolic,web_framework_orm_config,web_framework_orm_config,web_framework_orm_config,micro_single_file,8,764,0,False,0,False,False,3,19,1,4,1,2,2,2,4,{'.py': 1},{'django': 1},False,False,False,0,0,0,0,0,0,0,0,0
django__django-11119,django/django,3.0,2019-03-24T21:17:05Z,<15 min fix,repo_family,web_framework_orm_config,parser_serialization,web_framework_orm_config,micro_single_file,9,369,61,True,0,False,False,1,7,1,7,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,0,0,0,0,0,0,0,0,1
django__django-11133,django/django,3.0,2019-03-27T06:48:09Z,<15 min fix,multi_file,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,895,523,True,0,False,False,1,64,1,4,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,5,0,0,0,0,0,1,0,1
django__django-11138,django/django,3.0,2019-03-28T13:11:56Z,1-4 hours,dependency_config,web_framework_orm_config,web_orm_config,large_web_framework_orm_config,broad_multi_file_or_large,8,3135,166,True,0,False,False,1,73,1,59,4,7,40,29,69,{'.py': 4},{'django': 4},False,False,False,8,0,0,3,1,0,1,1,0
django__django-11141,django/django,3.1,2019-03-28T20:49:53Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,829,0,False,0,False,False,1,24,2,26,1,2,4,6,10,{'.py': 1},{'django': 1},False,False,True,1,0,0,0,0,0,0,0,0
django__django-11149,django/django,3.0,2019-03-30T18:14:35Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,783,683,True,0,False,False,2,46,2,54,1,1,30,26,56,{'.py': 1},{'django': 1},False,False,False,5,0,1,0,1,1,0,0,2
django__django-11163,django/django,3.0,2019-04-02T21:46:42Z,<15 min fix,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,408,404,True,0,False,False,1,141,1,4,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,3,0,0,1,0,0,1,0,1
django__django-11179,django/django,3.0,2019-04-05T15:54:39Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,283,880,True,0,False,False,1,40,1,9,1,1,1,0,1,{'.py': 1},{'django': 1},False,False,False,3,0,0,0,0,0,0,0,1
django__django-11206,django/django,3.0,2019-04-13T10:19:38Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_framework_orm_config,small_local,3,698,424,True,0,False,False,2,4,1,2,1,1,8,0,8,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,0,0,0,0,2
django__django-11211,django/django,3.0,2019-04-13T12:01:14Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,959,186,True,0,False,False,1,76,2,24,1,1,4,0,4,{'.py': 1},{'django': 1},False,False,False,5,0,0,0,0,0,0,0,1
django__django-11239,django/django,3.0,2019-04-16T09:44:54Z,<15 min fix,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,1056,0,False,0,False,False,1,5,1,37,1,2,12,0,12,{'.py': 1},{'django': 1},False,False,False,3,0,0,0,1,0,1,0,0
django__django-11265,django/django,3.0,2019-04-21T12:57:28Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,3810,4994,True,0,True,True,1,30,1,8,1,2,8,3,11,{'.py': 1},{'django': 1},False,False,False,7,2,0,2,1,1,0,1,0
django__django-11276,django/django,3.0,2019-04-24T12:35:05Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_framework_orm_config,medium_local,8,1120,0,False,0,False,False,26,548,14,75,1,6,5,21,26,{'.py': 1},{'django': 1},False,False,False,2,0,0,2,0,0,0,2,0
django__django-11292,django/django,3.0,2019-04-27T14:23:07Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_framework_orm_config,web_framework_orm_config,small_local,5,401,0,False,0,False,False,1,31,1,10,1,4,8,3,11,{'.py': 1},{'django': 1},False,False,False,0,0,0,0,0,0,0,0,0
django__django-11299,django/django,3.0,2019-04-28T11:15:08Z,<15 min fix,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,3040,240,True,0,False,False,1,103,2,38,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,8,0,0,0,1,1,0,0,2
django__django-11333,django/django,3.0,2019-05-06T21:00:53Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_framework_orm_config,small_local,8,1493,194,True,0,False,False,1,2,1,12,2,3,7,3,10,{'.py': 2},{'django': 2},False,False,False,4,1,0,1,0,0,3,0,1
django__django-11400,django/django,3.0,2019-05-22T11:30:39Z,1-4 hours,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,799,1056,True,0,False,False,6,58,2,104,3,4,19,7,26,{'.py': 3},{'django': 3},False,False,False,4,0,1,0,0,1,0,0,0
django__django-11433,django/django,3.0,2019-05-31T17:06:20Z,<15 min fix,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,586,0,False,0,False,False,1,142,1,26,1,1,5,2,7,{'.py': 1},{'django': 1},False,False,False,4,0,0,0,0,0,0,0,0
django__django-11451,django/django,3.0,2019-06-08T19:11:42Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,2067,0,False,0,False,False,6,45,1,13,1,1,2,0,2,{'.py': 1},{'django': 1},False,False,False,6,0,0,1,1,0,2,0,0
django__django-11477,django/django,3.0,2019-06-14T17:40:45Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,8,225,1617,True,0,False,False,3,151,5,31,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,3,1,0,0,0,0,2,1,1
django__django-11490,django/django,3.0,2019-06-19T07:47:46Z,<15 min fix,repo_family,web_framework_orm_config,web_framework_orm_config,web_framework_orm_config,micro_single_file,6,457,0,False,0,False,False,1,23,1,3,1,1,1,0,1,{'.py': 1},{'django': 1},False,False,False,0,0,0,0,0,0,0,0,0
django__django-11532,django/django,3.0,2019-07-02T10:29:28Z,15 min - 1 hour,dependency_config,web_framework_orm_config,http_io_packaging,large_web_framework_orm_config,broad_multi_file_or_large,8,2666,723,True,0,True,False,1,148,1,10,5,11,16,10,26,{'.py': 5},{'django': 5},False,False,False,1,0,0,0,0,0,3,2,0
django__django-11551,django/django,3.0,2019-07-09T22:28:45Z,15 min - 1 hour,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,5413,680,True,0,False,True,1,119,1,21,1,1,21,21,42,{'.py': 1},{'django': 1},False,False,False,6,0,0,1,1,0,1,1,1
django__django-11555,django/django,3.0,2019-07-10T18:07:07Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,748,603,True,0,False,True,1,26,2,26,1,1,3,0,3,{'.py': 1},{'django': 1},False,False,False,5,1,0,1,0,0,0,0,2
django__django-11603,django/django,3.0,2019-07-28T18:14:23Z,<15 min fix,repo_family,web_framework_orm_config,web_framework_orm_config,web_framework_orm_config,micro_single_file,9,396,3,True,0,False,False,2,58,1,13,1,2,2,0,2,{'.py': 1},{'django': 1},False,False,False,0,0,0,0,0,0,0,0,0
django__django-11728,django/django,3.0,2019-08-29T17:31:03Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,499,2222,True,0,True,False,2,44,1,4,1,6,12,10,22,{'.py': 1},{'django': 1},False,False,False,4,1,0,1,1,2,1,1,2
django__django-11734,django/django,3.0,2019-09-01T18:46:50Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,832,730,True,0,False,True,1,275,1,14,3,3,4,6,10,{'.py': 3},{'django': 3},False,False,False,4,1,0,0,0,0,0,1,1
django__django-11740,django/django,3.0,2019-09-03T10:44:38Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1973,2161,True,0,False,True,1,109,1,14,1,3,4,1,5,{'.py': 1},{'django': 1},False,False,True,5,1,0,1,0,0,0,2,0
django__django-11749,django/django,3.0,2019-09-05T21:47:44Z,15 min - 1 hour,test_localizable,web_framework_orm_config,parser_serialization,web_framework_orm_config,small_local,5,1249,105,True,0,False,True,1,34,2,22,1,1,9,1,10,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,0,0,0,0,5
django__django-11790,django/django,3.1,2019-09-17T14:33:44Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,465,16,True,0,False,False,2,77,1,2,1,1,3,1,4,{'.py': 1},{'django': 1},False,False,False,3,0,0,1,0,0,0,0,0
django__django-11815,django/django,3.1,2019-09-24T21:45:36Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,1601,2733,True,0,False,True,2,44,1,46,1,1,4,3,7,{'.py': 1},{'django': 1},False,False,True,5,0,1,0,0,0,0,1,3
django__django-11820,django/django,3.1,2019-09-26T08:37:14Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,343,75,True,0,False,False,2,61,1,32,1,1,7,1,8,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,0,0,0,0,0
django__django-11848,django/django,3.1,2019-09-28T04:28:22Z,15 min - 1 hour,dependency_config,web_framework_orm_config,parser_serialization,web_framework_orm_config,small_local,8,626,2170,True,0,False,False,2,43,1,25,1,1,7,3,10,{'.py': 1},{'django': 1},False,False,False,2,0,0,1,1,0,1,1,3
django__django-11880,django/django,3.1,2019-10-07T19:10:59Z,<15 min fix,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1078,122,True,0,False,True,1,114,1,11,1,1,1,0,1,{'.py': 1},{'django': 1},False,False,False,4,0,0,0,0,0,0,1,1
django__django-11885,django/django,3.1,2019-10-08T15:22:07Z,1-4 hours,repo_family,web_framework_orm_config,web_orm_config,large_web_framework_orm_config,broad_multi_file_or_large,8,1296,0,False,0,False,False,1,43,1,8,2,10,70,60,130,{'.py': 2},{'django': 2},False,False,False,4,0,0,0,0,1,0,0,0
django__django-11951,django/django,3.1,2019-10-21T09:35:46Z,<15 min fix,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,609,0,False,0,False,False,1,21,1,9,1,1,2,1,3,{'.py': 1},{'django': 1},False,False,False,3,0,0,0,0,0,0,1,0
django__django-11964,django/django,3.1,2019-10-23T14:16:45Z,<15 min fix,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,2353,554,True,0,True,False,2,15,1,6,1,1,7,1,8,{'.py': 1},{'django': 1},False,False,False,4,0,1,1,0,1,0,1,0
django__django-11999,django/django,3.1,2019-10-31T10:39:18Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,512,4194,True,0,False,False,1,30,1,10,1,1,6,2,8,{'.py': 1},{'django': 1},False,False,False,3,0,0,1,1,1,0,1,1
django__django-12039,django/django,3.1,2019-11-06T21:14:34Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,1245,343,True,0,False,True,1,11,1,40,1,2,9,3,12,{'.py': 1},{'django': 1},False,False,False,3,0,0,1,2,0,0,1,1
django__django-12050,django/django,3.1,2019-11-10T08:53:45Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,6,347,0,False,0,False,False,1,10,1,7,1,1,4,15,19,{'.py': 1},{'django': 1},False,False,False,2,1,0,0,0,0,0,0,0
django__django-12125,django/django,3.1,2019-11-22T12:55:45Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1589,2476,True,0,False,True,2,45,1,25,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,True,4,1,0,1,1,0,0,0,2
django__django-12143,django/django,3.1,2019-11-25T14:38:30Z,15 min - 1 hour,multi_file,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1437,0,False,0,False,False,1,52,1,20,1,1,3,1,4,{'.py': 1},{'django': 1},False,False,False,4,0,0,1,1,0,0,0,2
django__django-12155,django/django,3.1,2019-11-28T16:24:23Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,9,777,952,True,0,False,True,1,6,1,23,2,4,6,17,23,{'.py': 2},{'django': 2},False,False,False,4,0,0,3,0,0,0,2,3
django__django-12193,django/django,3.1,2019-12-08T01:38:25Z,<15 min fix,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,773,147,True,0,False,False,1,11,2,16,1,1,1,3,4,{'.py': 1},{'django': 1},False,False,False,3,0,1,1,0,0,0,0,1
django__django-12209,django/django,3.1,2019-12-12T04:11:05Z,<15 min fix,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,1200,2526,True,0,False,False,1,0,2,9,1,1,1,0,1,{'.py': 1},{'django': 1},False,False,False,3,0,1,0,1,1,0,1,0
django__django-12262,django/django,3.1,2019-12-30T13:13:59Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,5,1030,0,False,0,False,True,4,18,2,35,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,1,0,0,0,1,0,0,1,0
django__django-12273,django/django,3.1,2020-01-03T18:47:56Z,15 min - 1 hour,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,926,5134,True,0,True,True,2,27,1,37,1,1,3,0,3,{'.py': 1},{'django': 1},False,False,False,5,0,0,1,0,1,0,1,0
django__django-12276,django/django,3.1,2020-01-05T08:04:40Z,<15 min fix,semantic_api,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,604,816,True,0,False,False,2,117,2,35,1,2,3,3,6,{'.py': 1},{'django': 1},False,False,False,4,0,0,1,0,0,0,0,1
django__django-12304,django/django,3.1,2020-01-09T15:43:51Z,<15 min fix,repo_family,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,8,580,0,False,0,False,False,1,17,1,6,1,1,1,0,1,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,0,0,0,0,0
django__django-12308,django/django,3.1,2020-01-12T04:21:15Z,<15 min fix,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,459,368,True,0,False,False,2,20,1,17,1,1,5,0,5,{'.py': 1},{'django': 1},False,False,False,4,0,0,1,0,0,0,1,1
django__django-12325,django/django,3.1,2020-01-15T14:02:25Z,1-4 hours,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,900,2407,True,0,False,True,2,201,3,53,2,3,2,6,8,{'.py': 2},{'django': 2},False,False,False,3,1,1,2,1,2,0,0,1
django__django-12406,django/django,3.1,2020-02-02T16:34:05Z,15 min - 1 hour,test_localizable,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,1066,82,True,0,False,False,3,165,3,54,2,3,10,7,17,{'.py': 2},{'django': 2},False,False,False,4,0,0,1,0,0,1,0,0
django__django-12419,django/django,3.1,2020-02-05T10:02:56Z,<15 min fix,repo_family,web_framework_orm_config,web_orm_config,web_framework_orm_config,micro_single_file,8,680,147,True,0,False,False,1,0,1,1,1,1,1,1,2,{'.py': 1},{'django': 1},False,False,False,2,0,1,1,0,0,1,0,1
django__django-12663,django/django,3.1,2020-04-04T18:58:49Z,15 min - 1 hour,dependency_config,web_framework_orm_config,web_orm_config,web_orm_schema_query,micro_single_file,8,2854,2323,True,0,True,True,1,135,2,25,1,1,2,1,3,{'.py': 1},{'django': 1},False,False,False,6,2,0,1,0,0,1,3,2
django__django-12708,django/django,3.1,2020-04-12T22:20:59Z,1-4 hours,multi_file,web_framework_orm_config,web_orm_config,web_orm_schema_query,small_local,8,959,421,True,0,False,True,1,101,2,37,1,1,6,1,7,{'.py': 1},{'django': 1},False,False,False,4,0,0,1,1,0,0,1,1
django__django-12713,django/django,3.1,2020-04-13T23:57:12Z,15 min - 1 hour,repo_family,web_framework_orm_config,web_orm_config,web_orm_schema_query,medium_local,8,257,0,False,0,False,False,1,58,1,19,1,1,19,11,30,{'.py': 1},{'django': 1},False,False,False,2,0,0,0,0,0,0,0,0
